idProgramare,idSala,idClient,idTerapeut,idTerapie,data,time
1,1,17,6,6,2016-07-12 00:41:55,17:43
2,1,43,8,1,2016-06-28 11:02:16,14:46
3,2,20,1,6,2016-07-25 23:15:21,0:30
4,4,3,4,6,2016-07-04 11:19:24,12:42
5,4,39,10,2,2016-07-11 04:40:21,8:41
6,3,37,4,5,2016-07-03 01:10:37,12:38
7,4,25,10,1,2016-06-06 23:44:18,3:31
8,1,6,6,4,2016-06-07 10:15:58,3:02
9,1,5,6,6,2016-07-13 07:25:35,13:24
10,1,29,4,3,2016-07-01 17:20:53,15:21
11,1,3,9,2,2016-07-12 19:13:26,5:40
12,5,50,12,1,2016-07-10 20:18:16,18:31
13,3,35,10,3,2016-06-14 07:49:12,6:53
14,2,2,8,6,2016-06-27 21:13:12,8:46
15,1,20,3,5,2016-06-12 01:37:39,13:18
16,6,4,12,6,2016-07-24 18:58:32,11:21
17,1,1,11,1,2016-06-17 16:03:53,22:06
18,4,18,13,1,2016-06-19 11:49:49,7:22
19,1,16,4,2,2016-07-22 06:59:56,14:13
20,1,17,6,7,2016-07-26 01:10:14,3:36
21,4,45,1,6,2016-06-10 10:33:54,21:15
22,4,19,2,4,2016-07-26 20:16:44,20:58
23,1,32,5,2,2016-07-16 05:13:29,10:21
24,2,29,1,3,2016-07-16 14:40:01,3:13
25,1,15,3,5,2016-06-13 06:36:12,8:43
26,2,23,6,6,2016-06-16 03:11:37,3:16
27,1,48,9,3,2016-07-03 17:00:47,22:41
28,6,9,1,3,2016-07-19 11:46:05,23:18
29,5,15,7,1,2016-06-28 12:52:35,4:10
30,1,2,7,3,2016-07-05 00:24:13,2:04
31,6,45,13,2,2016-06-19 08:23:57,3:58
32,4,49,8,6,2016-06-08 05:24:33,15:18
33,3,1,5,1,2016-06-29 21:11:29,12:15
34,1,3,11,3,2016-07-21 03:36:31,11:08
35,2,12,6,3,2016-07-14 00:52:13,21:26
36,6,30,3,3,2016-06-10 07:18:56,9:15
37,4,40,7,4,2016-06-22 07:12:20,15:33
38,5,45,6,2,2016-06-02 17:05:59,3:41
39,1,48,5,2,2016-06-03 20:02:25,5:24
40,4,49,1,2,2016-06-01 18:49:02,21:12
41,3,14,7,1,2016-07-25 15:35:54,4:09
42,2,3,13,6,2016-07-18 14:23:19,2:24
43,6,28,6,1,2016-06-18 12:38:25,3:41
44,6,19,11,2,2016-07-10 13:08:23,9:09
45,1,18,1,5,2016-06-01 11:07:05,4:48
46,2,29,12,4,2016-07-15 07:32:24,17:43
47,1,24,5,3,2016-06-24 02:49:38,3:40
48,6,46,12,3,2016-06-05 17:08:04,22:08
49,1,8,12,4,2016-07-08 07:14:08,18:41
50,6,23,8,3,2016-06-17 09:58:15,10:07
51,2,48,13,2,2016-06-23 22:39:52,7:42
52,6,29,10,4,2016-07-24 03:53:13,2:48
53,6,13,5,5,2016-06-23 21:04:50,17:56
54,4,33,4,1,2016-07-07 22:34:44,14:55
55,4,8,4,5,2016-07-23 07:47:29,16:01
56,1,20,4,4,2016-07-22 20:14:23,16:10
57,3,34,11,3,2016-07-15 04:31:11,22:34
58,6,36,11,7,2016-06-26 05:31:28,15:29
59,5,36,10,1,2016-06-18 02:31:15,17:51
60,3,35,5,6,2016-06-29 00:39:36,1:14
61,6,25,12,6,2016-07-21 11:23:55,10:55
62,6,44,9,7,2016-07-17 20:43:35,12:14
63,3,29,4,3,2016-07-11 01:37:48,22:51
64,4,26,6,1,2016-07-12 13:56:10,5:06
65,5,37,1,6,2016-06-04 18:23:31,21:00
66,4,44,9,3,2016-07-22 10:56:19,10:35
67,5,25,4,2,2016-07-18 20:33:06,11:07
68,5,9,10,5,2016-06-11 08:10:39,19:41
69,1,10,1,3,2016-07-11 08:15:29,13:13
70,2,1,10,7,2016-07-12 01:09:08,22:07
71,2,15,6,5,2016-06-14 03:18:25,7:28
72,6,38,4,1,2016-06-20 18:19:07,3:45
73,5,49,7,3,2016-06-27 22:44:15,5:55
74,1,11,12,5,2016-07-13 22:05:44,5:54
75,5,22,2,1,2016-07-11 13:14:49,5:29
76,2,44,4,2,2016-06-06 23:29:24,14:29
